"Species","Year","Num_of_trees","sss"
"CATO",1925,9,0.818
"CATO",1926,10,0.851
"CATO",1927,10,0.851
"CATO",1928,10,0.851
"CATO",1929,11,0.88
"CATO",1930,12,0.905
"CATO",1931,12,0.905
"CATO",1932,12,0.905
"CATO",1933,12,0.905
"CATO",1934,12,0.905
"CATO",1935,13,0.928
"CATO",1936,13,0.928
"CATO",1937,13,0.928
"CATO",1938,13,0.928
"CATO",1939,13,0.928
"CATO",1940,14,0.949
"CATO",1941,14,0.949
"CATO",1942,14,0.949
"CATO",1943,15,0.968
"CATO",1944,15,0.968
"CATO",1945,15,0.968
"CATO",1946,16,0.985
"CATO",1947,16,0.985
"CATO",1948,17,1
"CATO",1949,17,1
"CATO",1950,18,1
"CATO",1951,18,1
"CATO",1952,18,1
"CATO",1953,18,1
"CATO",1954,18,1
"CATO",1955,18,1
"CATO",1956,18,1
"CATO",1957,18,1
"CATO",1958,18,1
"CATO",1959,18,1
"CATO",1960,18,1
"CATO",1961,18,1
"CATO",1962,18,1
"CATO",1963,18,1
"CATO",1964,18,1
"CATO",1965,18,1
"CATO",1966,18,1
"CATO",1967,18,1
"CATO",1968,18,1
"CATO",1969,18,1
"CATO",1970,18,1
"CATO",1971,18,1
"CATO",1972,18,1
"CATO",1973,18,1
"CATO",1974,18,1
"CATO",1975,18,1
"CATO",1976,18,1
"CATO",1977,18,1
"CATO",1978,18,1
"CATO",1979,18,1
"CATO",1980,18,1
"CATO",1981,18,1
"CATO",1982,18,1
"CATO",1983,18,1
"CATO",1984,18,1
"CATO",1985,18,1
"CATO",1986,18,1
"CATO",1987,18,1
"CATO",1988,18,1
"CATO",1989,18,1
"CATO",1990,18,1
"CATO",1991,18,1
"CATO",1992,18,1
"CATO",1993,18,1
"CATO",1994,18,1
"CATO",1995,18,1
"CATO",1996,18,1
"CATO",1997,17,1
"CATO",1998,17,1
"CATO",1999,17,1
"CATO",2000,17,1
"CATO",2001,16,0.985
"CATO",2002,16,0.985
"CATO",2003,16,0.985
"CATO",2004,15,0.968
"CATO",2005,14,0.949
"CATO",2006,14,0.949
"CATO",2007,14,0.949
"CATO",2008,13,0.928
"CATO",2009,11,0.88
"CATO",2010,9,0.818
"CATO",2011,8,0.78
"CATO",2012,8,0.78
"CATO",2013,7,0.736
"CATO",2014,6,0.685
"CATO",2015,5,0.624
"CATO",2016,4,0.551
"CATO",2017,1,0.199
"FAGR",1887,1,0.306
"FAGR",1888,1,0.306
"FAGR",1889,1,0.306
"FAGR",1890,1,0.306
"FAGR",1891,1,0.306
"FAGR",1892,1,0.306
"FAGR",1893,1,0.306
"FAGR",1894,1,0.306
"FAGR",1895,1,0.306
"FAGR",1896,1,0.306
"FAGR",1897,1,0.306
"FAGR",1898,1,0.306
"FAGR",1899,1,0.306
"FAGR",1900,1,0.306
"FAGR",1901,1,0.306
"FAGR",1902,2,0.482
"FAGR",1903,2,0.482
"FAGR",1904,2,0.482
"FAGR",1905,2,0.482
"FAGR",1906,2,0.482
