"year","month","cld","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet","PETminusPRE"
1971,8,63.40000153,14.19999981,0,3.600000143,111.600004433,104,15.10000038,22.20000076,29.30000114,21,10.96000004,7.600004433
1971,9,61.5,11.5,0,2.900000095,87.00000285,147.1000061,15.10000038,20.80000114,26.60000038,19.89999962,9.590000153,-60.10000325
1971,10,62.5,10.80000019,0,2.100000143,65.100004433,151.6999969,10.90000057,16.30000114,21.70000076,14.40000057,12.21000004,-86.599992467
1971,11,66,12.10000038,13.46999931,1.600000024,48.00000072,60.10000229,1.5,7.5,13.60000038,7.099999905,10.02999973,-12.10000157
1971,12,71,12.30000019,17.12999916,1.399999976,43.399999256,19.89999962,0.300000012,6.400000095,12.60000038,6.599999905,7.480000019,23.499999636
1972,1,68.20000458,12.10000038,24.48999977,1.300000072,40.300002232,48.79999924,-3.299999952,2.799999952,8.900000572,5,10.47999954,-8.499997008
1972,2,72.59999847,11.60000038,24.5,1.5,43.5,120.4000015,-4.900000095,0.900000036,6.700000286,4.099999905,15.60999966,-76.9000015
1972,3,67.90000153,13.5,18.70999908,2.5,77.5,44.20000076,-0.300000012,6.5,13.30000019,5.700000286,9.059999466,33.29999924
1972,4,64.5,15.60000038,8.039999962,3.400000095,102.00000285,95.70000458,3.700000048,11.5,19.30000114,8.199999809,12.23999977,6.29999827
1972,5,65.90000153,13.69999981,0,3.600000143,111.600004433,136.1999969,9.900000572,16.70000076,23.60000038,13.69999981,13.63000011,-24.599992467
1972,6,68.90000153,12.80000019,0,3.700000048,111.00000144,263.5,13.19999981,19.60000038,26,17.39999962,18,-152.49999856
1972,7,70.5,12.10000038,0,3.799999952,117.799998512,98.80000305,17.5,23.5,29.60000038,22.89999962,12.03999996,18.999995462
1972,8,63.70000076,14.10000038,0,3.600000143,111.600004433,54.60000229,15.5,22.5,29.60000038,21.5,7.619999886,57.000002143
1972,9,61.60000229,13.60000038,0,3.100000143,93.00000429,42.20000076,13.40000057,20.20000076,27,17.70000076,7.480000019,50.80000353
1972,10,65.70000458,14.10000038,5.849999905,2.200000048,68.200001488,157.3000031,4.800000191,11.80000019,18.89999962,9.600000381,12.28999996,-89.100001612
1972,11,74,11.30000019,15.0199995,1.399999976,41.99999928,155.8000031,0.900000036,6.5,12.19999981,6.900000095,14.50999928,-113.80000382
1972,12,81,10,17.12999916,1.200000048,37.200001488,130.4000092,0.300000012,5.300000191,10.30000019,6.300000191,15.55999947,-93.200007712
1973,1,67.80000305,12.69999981,25.46999931,1.5,46.5,69.70000458,-4.200000286,2.200000048,8.600000381,4.200000286,12.56999969,-23.20000458
1973,2,66.09999847,13.19999981,23.73999977,1.700000048,47.600001344,64.09999847,-5,1.600000024,8.199999809,4.099999905,11.84999943,-16.499997126
1973,3,74.59999847,12.40000057,8.789999962,2.299999952,71.299998512,76.80000305,3.5,9.699999809,15.90000057,8.300000191,13.14999962,-5.500004538
1973,4,72.40000153,12.5,3.949999809,3,90,146.1999969,5.700000286,11.90000057,18.20000076,9.300000191,15.07999992,-56.1999969
1973,5,73.59999847,13.40000057,0.149999991,3.400000095,105.400002945,99.59999847,9.199999809,15.90000057,22.60000038,12.69999981,12.46000004,5.80000447499999
1973,6,62.5,13.40000057,0,4.300000191,129.00000573,88.5,16.30000114,23,29.70000076,21,9.93999958,40.50000573
1973,7,64.90000153,13.5,0,4.200000286,130.200008866,81.09999847,17.30000114,24,30.80000114,22.70000076,10.11999989,49.100010396
1973,8,62.90000153,13,0,3.799999952,117.799998512,126.2000046,17.39999962,23.89999962,30.39999962,23.10000038,11.92000008,-8.400006088
1973,9,59.10000229,13.90000057,0,3.400000095,102.00000285,58,14.19999981,21.10000038,28.10000038,17.89999962,7.399999619,44.00000285
1973,10,54.20000076,14.80000019,1.659999967,2.5,77.5,102.2000046,7.300000191,14.69999981,22.10000038,11.90000057,9.069999695,-24.7000046
1973,11,66.09999847,13.90000057,11.17999935,1.899999976,56.99999928,34.29999924,2.400000095,9.300000191,16.30000114,7.5,7.839999676,22.70000004
1973,12,72.80000305,10.19999981,23.09000015,1.200000048,37.200001488,142.1999969,-2.100000143,3,8.100000381,5.200000286,18.12999916,-104.999995412
1974,1,72.59999847,11.40000057,18.70999908,1.5,46.5,81.09999847,-0.300000012,5.400000095,11.10000038,5.900000095,13.81999969,-34.59999847
1974,2,68.80000305,13,22.80999947,1.800000072,50.400002016,29.20000076,-4,2.5,9,4.099999905,7.869999886,21.200001256
1974,3,68.40000153,13.90000057,13.64999962,2.700000048,83.700001488,68.20000458,1.600000024,8.5,15.5,6.599999905,12.18999958,15.499996908
1974,4,63.60000229,15.5,3.279999971,3.900000095,117.00000285,46.20000076,6.099999905,13.80000019,21.60000038,8.699999809,9.420000076,70.80000209
1974,5,70,13.69999981,0,3.400000095,105.400002945,97.59999847,10.60000038,17.39999962,24.30000114,15.40000057,12.39999962,7.80000447499999
1974,6,67.80000305,12.80000019,0,3.799999952,113.99999856,145.3000031,13.60000038,20,26.39999962,17.39999962,13.02999973,-31.30000454
1974,7,59,14.30000019,0,4.5,139.5,54.60000229,16.39999962,23.5,30.70000076,21,9.059999466,84.89999771
1974,8,70.09999847,12.60000038,0,3.400000095,105.400002945,88.80000305,16.70000076,23,29.30000114,22.80000114,11.77999973,16.599999895
1974,9,67.5,13.60000038,0,2.799999952,83.99999856,105.5,11.90000057,18.70000076,25.5,16.60000038,10.0199995,-21.50000144
1974,10,52.20000076,16.60000038,7.839999676,2.600000143,80.600004433,32.20000076,3.900000095,12.19999981,20.5,9,5.789999962,48.400003673
1974,11,70,13.80000019,13.72999954,1.700000048,51.00000144,50.60000229,1.399999976,8.300000191,15.19999981,7.5,8.279999733,0.399999149999999
1974,12,72.70000458,11.40000057,22.48999977,1.300000072,40.300002232,125.5999985,-1.800000072,3.900000095,9.600000381,5.300000191,14.84999943,-85.299996268
1975,1,68.70000458,12.60000038,24.36999893,1.300000072,40.300002232,68,-3.200000048,3.100000143,9.400000572,5.300000191,13.27999973,-27.699997768
1975,2,77.5,11.80000019,21.38999939,1.5,42,57.29999924,-2.600000143,3.299999952,9.199999809,5.200000286,11.71999931,-15.29999924
1975,3,74.90000153,12.30000019,19.5,2.200000048,68.200001488,144.6999969,-0.600000024,5.599999905,11.80000019,5.700000286,15.8399992,-76.499995412
1975,4,64.70000458,13.40000057,8.510000229,3.299999952,98.99999856,53.90000153,3.5,10.19999981,16.89999962,6.900000095,9.199999809,45.09999703
1975,5,66.5,13.69999981,0,3.799999952,117.799998512,119.2000046,11.90000057,18.70000076,25.60000038,15.60000038,13.31999969,-1.400006088
