Variable,Tmin,Tmean,Tmax,PPT
F1968.04,4.8874998,12.3200006,19.7605,48.4720039
F1968.05,7.2751999,14.3300009,21.3836002,127.852005
F1968.06,13.3023996,20.7200012,28.1303005,95.2950058
F1968.07,15.9161997,22.7800007,29.6476002,77.7000046
F1968.08,15.9343004,23.0000019,30.0739002,97.5730057
F1968.09,10.9547005,18.4300003,25.9085007,93.4920044
F1968.10,6.4590998,12.8800011,19.3094006,91.2030029
F1968.11,1.6682,6.9300003,12.1843996,110.6080017
F1968.12,-5.0558,-0.11,4.8385,33.6520004
F1969.01,-7.6128998,-2.3900001,2.8257,62.8420029
F1969.02,-4.2522998,-0.05,4.1469002,31.5770016
