"Species","coef","significant","significant2","ci.lower","ci.upper","variable","month"
"CACO",0.229129411252797,FALSE,FALSE,-0.0162382931809026,0.424550173200499,"PPT","curr.aug"
"CAGL",0.0179870265701118,FALSE,FALSE,-0.210662891252719,0.215094135931494,"Tmin","prev.apr"
"CAGL",0.0557257415538553,FALSE,FALSE,-0.164581215089025,0.250146304195526,"Tmin","prev.may"
"CAGL",0.0175464433924694,FALSE,FALSE,-0.220024629475653,0.242473827631682,"Tmin","prev.jun"
"CAGL",0.118528449815084,FALSE,FALSE,-0.108625322528044,0.328181149008301,"Tmin","prev.jul"
"CAGL",0.185292250219651,FALSE,FALSE,-0.0562814327099554,0.397462436342539,"Tmin","prev.aug"
"CAGL",0.0101218583887551,FALSE,FALSE,-0.225853526653366,0.212135076131309,"Tmin","prev.sep"
"CAGL",-0.052065162987658,FALSE,FALSE,-0.214288810472757,0.119147405428032,"Tmin","prev.oct"
"CAGL",-0.0962809244925331,FALSE,FALSE,-0.349858516626158,0.1331525924219,"Tmin","prev.nov"
"CAGL",0.0253943269118665,FALSE,FALSE,-0.220057558078507,0.266166082279631,"Tmin","prev.dec"
"CAGL",-0.0630285812370485,FALSE,FALSE,-0.278368151064827,0.169975838943613,"Tmin","curr.jan"
"CAGL",-0.125004761786416,FALSE,FALSE,-0.341817131643565,0.114226124091557,"Tmin","curr.feb"
"CAGL",-0.0630019878217343,FALSE,FALSE,-0.31064972915406,0.189954842567327,"Tmin","curr.mar"
"CAGL",0.10345791599616,FALSE,FALSE,-0.103382365616974,0.317041468634461,"Tmin","curr.apr"
"CAGL",-0.244588766912283,TRUE,FALSE,-0.430603818941965,-0.0443492146016466,"Tmin","curr.may"
"CAGL",-0.19169111933288,FALSE,FALSE,-0.403693653134315,0.0529062032205378,"Tmin","curr.jun"
"CAGL",-0.00137829588157374,FALSE,FALSE,-0.197638752964649,0.186353067909513,"Tmin","curr.jul"
"CAGL",0.0409781082317397,FALSE,FALSE,-0.18678094272429,0.244390733119655,"Tmin","curr.aug"
"CAGL",-0.0574026489942419,FALSE,FALSE,-0.278426502331016,0.166556884905528,"Tmean","prev.apr"
"CAGL",0.110270156895441,FALSE,FALSE,-0.113251577440569,0.315072191022234,"Tmean","prev.may"
"CAGL",0.0374542669914947,FALSE,FALSE,-0.180971386049915,0.257416847436308,"Tmean","prev.jun"
"CAGL",0.11962730881763,FALSE,FALSE,-0.0776507898151048,0.302382815821538,"Tmean","prev.jul"
"CAGL",0.162734145912763,FALSE,FALSE,-0.100203321603834,0.38746313278072,"Tmean","prev.aug"
"CAGL",-0.0371747063512363,FALSE,FALSE,-0.25719510850234,0.178140338353721,"Tmean","prev.sep"
"CAGL",-0.0813991303315723,FALSE,FALSE,-0.288232296071,0.126475706372598,"Tmean","prev.oct"
"CAGL",-0.173613133744622,FALSE,FALSE,-0.401299203692052,0.0831907806137561,"Tmean","prev.nov"
"CAGL",-0.00074153429257159,FALSE,FALSE,-0.223549070454027,0.239614983080271,"Tmean","prev.dec"
"CAGL",-0.0934264279801809,FALSE,FALSE,-0.325519736116155,0.13233570979997,"Tmean","curr.jan"
"CAGL",-0.132228149941208,FALSE,FALSE,-0.372371425466916,0.10006886416402,"Tmean","curr.feb"
"CAGL",-0.112408826716501,FALSE,FALSE,-0.348598079084481,0.162325645473858,"Tmean","curr.mar"
"CAGL",0.107633970509084,FALSE,FALSE,-0.144237337369271,0.338472190063291,"Tmean","curr.apr"
"CAGL",-0.246259077225656,TRUE,FALSE,-0.444131025975894,-0.0482878710146753,"Tmean","curr.may"
"CAGL",-0.169248298915506,FALSE,FALSE,-0.394661352489615,0.0714705376414229,"Tmean","curr.jun"
"CAGL",-0.0163755094224388,FALSE,FALSE,-0.22359468977468,0.191294573400777,"Tmean","curr.jul"
"CAGL",-0.0237038671600624,FALSE,FALSE,-0.255880571109817,0.211199262801227,"Tmean","curr.aug"
"CAGL",-0.093605136375445,FALSE,FALSE,-0.316704939779063,0.122438754443784,"Tmax","prev.apr"
"CAGL",0.127196997598564,FALSE,FALSE,-0.0956428170066642,0.316166760750299,"Tmax","prev.may"
"CAGL",0.0433662058768922,FALSE,FALSE,-0.130535479475036,0.218434683013792,"Tmax","prev.jun"
"CAGL",0.0933060906672871,FALSE,FALSE,-0.121593749261443,0.298959046514095,"Tmax","prev.jul"
"CAGL",0.0846469351427046,FALSE,FALSE,-0.157848733468657,0.328012880960383,"Tmax","prev.aug"
"CAGL",-0.0777606950821757,FALSE,FALSE,-0.277316851738882,0.133661330202748,"Tmax","prev.sep"
"CAGL",-0.112526933735238,FALSE,FALSE,-0.326367081865047,0.147217741884974,"Tmax","prev.oct"
"CAGL",-0.195511980251565,FALSE,FALSE,-0.408443790636375,0.0175377004690539,"Tmax","prev.nov"
"CAGL",-0.0309967118377242,FALSE,FALSE,-0.264620264286201,0.222084507352068,"Tmax","prev.dec"
"CAGL",-0.12303580315975,FALSE,FALSE,-0.328237248171317,0.107688020511759,"Tmax","curr.jan"
"CAGL",-0.147142546869456,FALSE,FALSE,-0.378925195782299,0.0966831775675328,"Tmax","curr.feb"
"CAGL",-0.126041478170642,FALSE,FALSE,-0.380526705390125,0.143120460419939,"Tmax","curr.mar"
"CAGL",0.0942505639036816,FALSE,FALSE,-0.160287381695689,0.342681586000047,"Tmax","curr.apr"
"CAGL",-0.23342283401102,TRUE,FALSE,-0.429774466846294,-0.0202249433677044,"Tmax","curr.may"
"CAGL",-0.118544664567488,FALSE,FALSE,-0.319664937503594,0.127127769158135,"Tmax","curr.jun"
"CAGL",-0.0164945503340445,FALSE,FALSE,-0.235653158898711,0.201889734672351,"Tmax","curr.jul"
"CAGL",-0.074353683864865,FALSE,FALSE,-0.289517637333463,0.151566551455804,"Tmax","curr.aug"
"CAGL",0.0985015628980864,FALSE,FALSE,-0.127424063810282,0.302711972441604,"PPT","prev.apr"
"CAGL",-0.141512273084234,FALSE,FALSE,-0.351832627318253,0.0802567147963375,"PPT","prev.may"
"CAGL",-0.0155732559282847,FALSE,FALSE,-0.208429669467885,0.168726409430174,"PPT","prev.jun"
"CAGL",-0.111047770889347,FALSE,FALSE,-0.352927334270098,0.0979777291844379,"PPT","prev.jul"
"CAGL",0.013187519116726,FALSE,FALSE,-0.250430232430969,0.260399534766371,"PPT","prev.aug"
"CAGL",0.0271671697829831,FALSE,FALSE,-0.155398598919131,0.236580680028692,"PPT","prev.sep"
"CAGL",-0.00242329640148736,FALSE,FALSE,-0.257917099285627,0.300585406821505,"PPT","prev.oct"
"CAGL",0.0556056113984862,FALSE,FALSE,-0.143760118319787,0.243084747425311,"PPT","prev.nov"
"CAGL",-0.0139945173740115,FALSE,FALSE,-0.263452492777086,0.195867134403515,"PPT","prev.dec"
"CAGL",0.0900715206997611,FALSE,FALSE,-0.0919435857256625,0.256030889769844,"PPT","curr.jan"
"CAGL",0.0269358205637532,FALSE,FALSE,-0.190590153753364,0.245735008036917,"PPT","curr.feb"
"CAGL",0.184108263545679,FALSE,FALSE,-0.0513848390883527,0.383799957714564,"PPT","curr.mar"
"CAGL",0.0275221151188818,FALSE,FALSE,-0.218644847850201,0.247529743622621,"PPT","curr.apr"
"CAGL",0.126106884949162,FALSE,FALSE,-0.115208318672974,0.336440964955842,"PPT","curr.may"
"CAGL",0.0116887661980286,FALSE,FALSE,-0.172896165821825,0.209787739371311,"PPT","curr.jun"
"CAGL",0.199596895824444,FALSE,FALSE,-0.0147652547575264,0.419752610402839,"PPT","curr.jul"
"CAGL",0.278111030496803,TRUE,FALSE,0.0696634039456215,0.456282483501198,"PPT","curr.aug"
"CAOV",0.0866832189188888,FALSE,FALSE,-0.149812287635103,0.268243045635744,"Tmin","prev.apr"
"CAOV",0.00382577120193431,FALSE,FALSE,-0.233353174075723,0.249578737653672,"Tmin","prev.may"
"CAOV",-0.0263199194900609,FALSE,FALSE,-0.272603477132265,0.210602982335512,"Tmin","prev.jun"
"CAOV",-0.04408766608537,FALSE,FALSE,-0.294095260705876,0.193197202920102,"Tmin","prev.jul"
